2021-11-18 09:41:11.2447|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-18 09:41:11.4122|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-18 09:41:11.4283|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\SHIVA KUMAR\source\repos\BookStore\BookStore |url: |action: |
2021-11-18 09:41:41.4243|0|INFO|BookStore.Controller.UserController|durgachandrasekhar3@gmail.comis using forgot password |url: |action: |
2021-11-18 09:42:03.0512|0|INFO|BookStore.Controller.UserController|Exception occured while using forgot password Could not find stored procedure 'spForgotPassword'. |url: |action: |
2021-11-18 09:42:57.5417|0|INFO|BookStore.Controller.UserController|durgachandrasekhar3@gmail.comis using forgot password |url: |action: |
2021-11-18 09:42:57.6739|0|INFO|BookStore.Controller.UserController|Exception occured while using forgot password Could not find stored procedure 'spForgotPassword'. |url: |action: |
2021-11-18 09:47:05.6646|0|INFO|BookStore.Controller.UserController|durgachandrasekhar3@gmail.comIs trying to login |url: |action: |
2021-11-18 09:47:06.9984|0|INFO|BookStore.Controller.UserController|durgachandrasekhar3@gmail.com logged in successfully and the token generated is  |url: |action: |
2021-11-18 09:47:27.9837|0|INFO|BookStore.Controller.UserController|BookStoreModel.ResetPasswordis using reset password |url: |action: |
2021-11-18 09:47:28.0266|0|INFO|BookStore.Controller.UserController|Password Reset Failed! |url: |action: |
2021-11-18 09:59:23.8649|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-18 09:59:23.9224|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-18 09:59:23.9377|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\SHIVA KUMAR\source\repos\BookStore\BookStore |url: |action: |
2021-11-18 10:08:07.4881|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-18 10:08:07.5592|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-18 10:08:07.5728|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\SHIVA KUMAR\source\repos\BookStore\BookStore |url: |action: |
2021-11-18 10:11:52.8649|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-18 10:11:52.9196|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-18 10:11:52.9312|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\SHIVA KUMAR\source\repos\BookStore\BookStore |url: |action: |
2021-11-18 10:12:09.4039|0|INFO|BookStore.Controller.UserController|BookStoreModel.ResetPasswordis using reset password |url: |action: |
2021-11-18 10:12:09.4137|0|INFO|BookStore.Controller.UserController|Password reseted Successfully for BookStoreModel.ResetPassword |url: |action: |
2021-11-18 10:28:09.4561|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-18 10:28:09.5395|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-18 10:28:09.5472|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\SHIVA KUMAR\source\repos\BookStore\BookStore |url: |action: |
2021-11-18 11:28:26.0768|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-18 11:28:26.1263|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-18 11:28:26.1263|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\SHIVA KUMAR\source\repos\BookStore\BookStore |url: |action: |
2021-11-18 11:43:52.7189|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-18 11:43:52.7640|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-18 11:43:52.7640|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\SHIVA KUMAR\source\repos\BookStore\BookStore |url: |action: |
2021-11-18 12:22:03.1729|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |
2021-11-18 12:22:03.2344|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |
2021-11-18 12:22:03.2344|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\SHIVA KUMAR\source\repos\BookStore\BookStore |url: |action: |
